ET0;mm/day
Time [days];Average ET0
01/01/2020 00:00;0.43
02/01/2020 00:00;0.43
03/01/2020 00:00;0.44
04/01/2020 00:00;0.43
05/01/2020 00:00;0.46
06/01/2020 00:00;0.44
07/01/2020 00:00;0.4
08/01/2020 00:00;0.42
09/01/2020 00:00;0.39
10/01/2020 00:00;0.43
11/01/2020 00:00;0.38
12/01/2020 00:00;0.41
13/01/2020 00:00;0.43
14/01/2020 00:00;0.52
15/01/2020 00:00;0.39
16/01/2020 00:00;0.57
17/01/2020 00:00;0.55
18/01/2020 00:00;0.55
19/01/2020 00:00;0.53
20/01/2020 00:00;0.46
21/01/2020 00:00;0.51
22/01/2020 00:00;0.51
23/01/2020 00:00;0.43
24/01/2020 00:00;0.43
25/01/2020 00:00;0.45
26/01/2020 00:00;0.51
27/01/2020 00:00;0.58
28/01/2020 00:00;0.6
29/01/2020 00:00;0.6
30/01/2020 00:00;0.55
31/01/2020 00:00;0.55
01/02/2020 00:00;0.47
02/02/2020 00:00;0.52
03/02/2020 00:00;0.61
04/02/2020 00:00;0.56
05/02/2020 00:00;0.64
06/02/2020 00:00;0.82
07/02/2020 00:00;0.83
08/02/2020 00:00;0.78
09/02/2020 00:00;0.72
10/02/2020 00:00;0.61
11/02/2020 00:00;0.66
12/02/2020 00:00;0.85
13/02/2020 00:00;0.85
14/02/2020 00:00;0.79
15/02/2020 00:00;0.97
16/02/2020 00:00;1.06
17/02/2020 00:00;0.95
18/02/2020 00:00;1.05
19/02/2020 00:00;0.92
20/02/2020 00:00;0.89
21/02/2020 00:00;1.03
22/02/2020 00:00;1.06
23/02/2020 00:00;1.07
24/02/2020 00:00;1.14
25/02/2020 00:00;1.18
26/02/2020 00:00;1.08
27/02/2020 00:00;1.25
28/02/2020 00:00;1.02
01/03/2020 00:00;0.99
02/03/2020 00:00;1.31
03/03/2020 00:00;1.24
04/03/2020 00:00;1.26
05/03/2020 00:00;1.29
06/03/2020 00:00;1.42
07/03/2020 00:00;1.35
08/03/2020 00:00;1.45
09/03/2020 00:00;1.4
10/03/2020 00:00;1.55
11/03/2020 00:00;1.66
12/03/2020 00:00;1.99
13/03/2020 00:00;1.59
14/03/2020 00:00;1.8
15/03/2020 00:00;1.6
16/03/2020 00:00;2.02
17/03/2020 00:00;1.73
18/03/2020 00:00;1.6
19/03/2020 00:00;1.78
20/03/2020 00:00;1.94
21/03/2020 00:00;2.02
22/03/2020 00:00;2.22
23/03/2020 00:00;2.08
24/03/2020 00:00;2.38
25/03/2020 00:00;2.41
26/03/2020 00:00;2.24
27/03/2020 00:00;2.42
28/03/2020 00:00;2.26
29/03/2020 00:00;2.43
30/03/2020 00:00;2.3
31/03/2020 00:00;2.07
01/04/2020 00:00;2.44
02/04/2020 00:00;2.78
03/04/2020 00:00;2.35
04/04/2020 00:00;2.09
05/04/2020 00:00;2.11
06/04/2020 00:00;2.69
07/04/2020 00:00;3.18
08/04/2020 00:00;2.82
09/04/2020 00:00;2.93
10/04/2020 00:00;3.11
11/04/2020 00:00;2.79
12/04/2020 00:00;2.61
13/04/2020 00:00;2.67
14/04/2020 00:00;3.15
15/04/2020 00:00;3.07
16/04/2020 00:00;3.08
17/04/2020 00:00;3.5
18/04/2020 00:00;4
19/04/2020 00:00;3.96
20/04/2020 00:00;4.43
21/04/2020 00:00;3.93
22/04/2020 00:00;4.05
23/04/2020 00:00;3.89
24/04/2020 00:00;3.98
25/04/2020 00:00;3.24
26/04/2020 00:00;2.94
27/04/2020 00:00;3.04
28/04/2020 00:00;2.97
29/04/2020 00:00;3.2
30/04/2020 00:00;3.41
01/05/2020 00:00;3.73
02/05/2020 00:00;3.14
03/05/2020 00:00;3.1
04/05/2020 00:00;4.02
05/05/2020 00:00;4.09
06/05/2020 00:00;4.1
07/05/2020 00:00;4.1
08/05/2020 00:00;3.89
09/05/2020 00:00;4.09
10/05/2020 00:00;3.75
11/05/2020 00:00;3.83
12/05/2020 00:00;3.57
13/05/2020 00:00;3.84
14/05/2020 00:00;3.62
15/05/2020 00:00;4.25
16/05/2020 00:00;3.58
17/05/2020 00:00;4.23
